ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789281962.022025917,2026-09-13T06:46:02.022Z,573196433100,1033704512,0.33
1789281967.030131941,2026-09-13T06:46:07.031Z,573817219262,1034351321,0.30
1789281972.038081273,2026-09-13T06:46:12.039Z,574434280065,1035046601,0.28
1789281977.046073276,2026-09-13T06:46:17.047Z,575059643455,1035737247,0.26
1789281982.054640747,2026-09-13T06:46:22.055Z,575657220539,1036379497,0.23
1789281987.062945585,2026-09-13T06:46:27.064Z,576252439421,1037021751,0.22
1789281992.071611934,2026-09-13T06:46:32.072Z,576843026403,1037658063,0.28
1789281997.079705892,2026-09-13T06:46:37.080Z,577427083743,1038287498,0.34
1789282002.087784637,2026-09-13T06:46:42.088Z,578033054319,1038937225,0.31
1789282007.095855161,2026-09-13T06:46:47.096Z,578652473929,1039632796,0.28
1789282012.103795772,2026-09-13T06:46:52.104Z,579247674483,1040265708,0.42
1789282017.111805006,2026-09-13T06:46:57.112Z,579862497953,1040919762,0.55
1789282022.120012275,2026-09-13T06:47:02.120Z,580448738459,1041504982,0.50
1789282027.128065752,2026-09-13T06:47:07.129Z,581030546783,1042099848,0.46
1789282032.136092591,2026-09-13T06:47:12.137Z,581610571333,1042706284,0.43
1789282037.144319378,2026-09-13T06:47:17.145Z,582196273101,1043340043,0.39
1789282042.152693580,2026-09-13T06:47:22.153Z,582791796323,1043997555,0.44
1789282047.160641297,2026-09-13T06:47:27.161Z,583406560830,1044668292,0.41
1789282052.168557095,2026-09-13T06:47:32.169Z,584021222815,1045355576,0.37
1789282057.176652949,2026-09-13T06:47:37.177Z,584627128327,1046000146,0.34
1789282062.184679195,2026-09-13T06:47:42.185Z,585224281185,1046621186,0.31
1789282067.192785242,2026-09-13T06:47:47.193Z,585823607513,1047266909,0.37
1789282072.201012306,2026-09-13T06:47:52.201Z,586401015405,1047885310,0.42
1789282077.209047106,2026-09-13T06:47:57.210Z,586971873295,1048497860,0.39
1789282082.217137053,2026-09-13T06:48:02.218Z,587547086171,1049104674,0.36
1789282087.225377892,2026-09-13T06:48:07.226Z,588139920663,1049726373,0.33
1789282092.233736149,2026-09-13T06:48:12.234Z,588723922961,1050349960,0.30
1789282097.241905515,2026-09-13T06:48:17.242Z,589321151166,1050975344,0.28
1789282102.250229629,2026-09-13T06:48:22.251Z,589929334294,1051653682,0.25
1789282107.259146635,2026-09-13T06:48:27.260Z,590511128656,1052297286,0.23
1789282112.267984133,2026-09-13T06:48:32.268Z,591117212808,1052979879,0.29
1789282117.276373527,2026-09-13T06:48:37.277Z,591678443164,1053605692,0.27
1789282122.284783027,2026-09-13T06:48:42.285Z,592277879374,1054266474,0.25
1789282127.292865454,2026-09-13T06:48:47.293Z,592903562180,1054960673,0.23
1789282132.301373676,2026-09-13T06:48:52.302Z,593498606484,1055608222,0.21
1789282137.309660115,2026-09-13T06:48:57.310Z,594111657586,1056292025,0.19
1789282142.317931736,2026-09-13T06:49:02.318Z,594721677370,1056984192,0.26
1789282147.326353061,2026-09-13T06:49:07.327Z,595273565514,1057580887,0.24
1789282152.334915486,2026-09-13T06:49:12.335Z,595875147163,1058224848,0.22
1789282157.342883937,2026-09-13T06:49:17.343Z,596443813152,1058857865,0.20
1789282162.350872614,2026-09-13T06:49:22.351Z,597045395096,1059524350,0.26
1789282167.359209221,2026-09-13T06:49:27.360Z,597617895996,1060116420,0.24
1789282172.367615425,2026-09-13T06:49:32.368Z,598187110572,1060722845,0.30
1789282177.375762772,2026-09-13T06:49:37.376Z,598801885784,1061410160,0.28
1789282182.383906574,2026-09-13T06:49:42.384Z,599399066462,1062060383,0.58
1789282187.392138859,2026-09-13T06:49:47.393Z,600025497186,1062735125,0.61
1789282192.400426307,2026-09-13T06:49:52.401Z,600631112394,1063400566,0.64
1789282197.408841802,2026-09-13T06:49:57.410Z,601213318660,1064046213,0.59
1789282202.417471689,2026-09-13T06:50:02.418Z,601877522240,1064758339,0.54
1789282207.425933392,2026-09-13T06:50:07.426Z,602477896544,1065405559,0.66
1789282212.434071083,2026-09-13T06:50:12.435Z,603083337966,1066083889,0.61
1789282217.442098228,2026-09-13T06:50:17.443Z,603702922033,1066763984,0.64
1789282222.450085039,2026-09-13T06:50:22.451Z,604317687893,1067434374,0.67
1789282227.458458869,2026-09-13T06:50:27.459Z,604928058350,1068126615,0.61
1789282232.466917849,2026-09-13T06:50:32.467Z,605525228498,1068769753,0.57
1789282237.475468061,2026-09-13T06:50:37.476Z,606089510484,1069402568,0.68
1789282242.483648747,2026-09-13T06:50:42.484Z,606697681130,1070060410,0.63
1789282247.492236329,2026-09-13T06:50:47.493Z,607286183334,1070688257,0.58
1789282252.500510484,2026-09-13T06:50:52.501Z,607872432355,1071317653,0.53
1789282257.508621795,2026-09-13T06:50:57.509Z,608478405842,1071973001,0.65
1789282262.517194653,2026-09-13T06:51:02.518Z,609069068988,1074674298,0.68
1789282267.525210430,2026-09-13T06:51:07.526Z,609646418409,1075258280,0.70
1789282272.533630213,2026-09-13T06:51:12.534Z,610237075042,1075879307,0.73
1789282277.542274208,2026-09-13T06:51:17.543Z,610814473025,1076442875,0.75
1789282282.550882457,2026-09-13T06:51:22.551Z,611372156930,1077000655,0.69
1789282287.558950850,2026-09-13T06:51:27.560Z,611949556130,1077599485,0.63
1789282292.566956223,2026-09-13T06:51:32.567Z,612546751788,1078230330,0.58
1789282297.574911114,2026-09-13T06:51:37.575Z,613124201602,1078825249,0.54
1789282302.583183683,2026-09-13T06:51:42.584Z,613714846496,1079470626,0.65
1789282307.591219921,2026-09-13T06:51:47.592Z,614316101042,1080085144,0.60
1789282312.599463358,2026-09-13T06:51:52.600Z,614885159940,1080667733,0.63
1789282317.608011712,2026-09-13T06:51:57.608Z,615468684834,1081269755,0.66
1789282322.616432682,2026-09-13T06:52:02.617Z,616052741372,1081892454,0.69
1789282327.624417855,2026-09-13T06:52:07.625Z,616638937252,1082483862,0.63
1789282332.632782621,2026-09-13T06:52:12.633Z,617230699908,1083114161,0.58
1789282337.640822885,2026-09-13T06:52:17.641Z,617793864998,1083674697,0.54
1789282342.648867452,2026-09-13T06:52:22.649Z,618384472404,1084304786,0.49
1789282347.657260930,2026-09-13T06:52:27.658Z,618976919676,1084946947,0.53
1789282352.665798029,2026-09-13T06:52:32.666Z,619572116473,1085574003,0.57
1789282357.674495426,2026-09-13T06:52:37.675Z,620160704694,1086213759,0.61
1789282362.683009576,2026-09-13T06:52:42.684Z,620740302426,1086841428,0.56
1789282367.691152524,2026-09-13T06:52:47.692Z,621327184079,1087494094,0.51
1789282372.699122994,2026-09-13T06:52:52.700Z,621919968895,1088112412,0.55
1789282377.707120755,2026-09-13T06:52:57.708Z,622512720485,1088762589,0.51
1789282382.715585510,2026-09-13T06:53:02.716Z,623105458229,1089395699,0.47
1789282387.723962867,2026-09-13T06:53:07.724Z,623700502773,1090034856,0.51
1789282392.732066461,2026-09-13T06:53:12.733Z,624295638924,1090671503,0.55
1789282397.739945875,2026-09-13T06:53:17.741Z,624888494116,1091312630,0.50
1789282402.747929021,2026-09-13T06:53:22.748Z,625494466072,1091976485,0.54
1789282407.755989521,2026-09-13T06:53:27.757Z,626067533020,1092613845,0.50
1789282412.764468411,2026-09-13T06:53:32.765Z,626649386326,1093245069,0.46
1789282417.772666756,2026-09-13T06:53:37.773Z,627237783934,1093879569,0.58
1789282422.780654780,2026-09-13T06:53:42.781Z,627839361604,1094532381,0.54
1789282427.788890420,2026-09-13T06:53:47.789Z,628414632994,1095136339,0.57
1789282432.796964346,2026-09-13T06:53:52.798Z,629000881132,1095763421,0.53
1789282437.805104240,2026-09-13T06:53:57.806Z,629587083640,1096393575,0.48
1789282442.813448169,2026-09-13T06:54:02.814Z,630171179744,1097010364,0.45
1789282447.821730968,2026-09-13T06:54:07.823Z,630750848116,1097627215,0.41
1789282452.830351880,2026-09-13T06:54:12.831Z,631293140790,1098224457,0.46
1789282457.838675000,2026-09-13T06:54:17.839Z,631903509727,1098884329,0.42
1789282462.846709602,2026-09-13T06:54:22.847Z,632502903040,1099529795,0.39
1789282467.854719318,2026-09-13T06:54:27.855Z,633084706231,1100155558,0.36
1789282472.863322707,2026-09-13T06:54:32.864Z,633665537907,1100774051,0.33
1789282477.872404700,2026-09-13T06:54:37.873Z,634252025147,1101402806,0.30
1789282482.880922828,2026-09-13T06:54:42.882Z,634820704547,1102016174,0.28
1789282487.889132334,2026-09-13T06:54:47.890Z,635409096723,1102642608,0.25
1789282492.897601588,2026-09-13T06:54:52.898Z,635980018657,1103238051,0.23
