LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
34m         Warning   Evicted            pod/curl-runner-65d77865d8-bspf8    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-zjdx2    Successfully assigned bench/curl-runner-65d77865d8-zjdx2 to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-27fpm    Successfully assigned bench/curl-runner-65d77865d8-27fpm to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-6jsg6    Successfully assigned bench/curl-runner-65d77865d8-6jsg6 to ocibench-control-plane
34m         Warning   Evicted            pod/v2-vanilla-90-1                 The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 4437048Ki.
34m         Warning   Evicted            pod/curl-runner-65d77865d8-27fpm    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-cgj64    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-zjdx2    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-cgj64    Successfully assigned bench/curl-runner-65d77865d8-cgj64 to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-pwdz5    Successfully assigned bench/curl-runner-65d77865d8-pwdz5 to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-97g2n    Successfully assigned bench/curl-runner-65d77865d8-97g2n to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-4gd4q    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-6kpvl    Successfully assigned bench/curl-runner-65d77865d8-6kpvl to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-97g2n    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-4gd4q    Successfully assigned bench/curl-runner-65d77865d8-4gd4q to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-8qz8d    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-4zpbx    Successfully assigned bench/curl-runner-65d77865d8-4zpbx to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-4zpbx    The node had condition: [DiskPressure].
34m         Normal    Pulled             pod/v2-vanilla-90-1                 Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 133ms (3.397s including waiting). Image size: 150374663046 bytes.
34m         Normal    Pulling            pod/v2-vanilla-90-1                 Pulling image "172.31.57.168:5000/custom-predictor:v5"
34m         Warning   Evicted            pod/curl-runner-65d77865d8-xpfjf    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-8qz8d    Successfully assigned bench/curl-runner-65d77865d8-8qz8d to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-6kpvl    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-xpfjf    Successfully assigned bench/curl-runner-65d77865d8-xpfjf to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-hhkkv    Successfully assigned bench/curl-runner-65d77865d8-hhkkv to ocibench-control-plane
34m         Normal    Pulled             pod/v2-vanilla-90-1                 Successfully pulled image "172.31.57.168:5000/custom-predictor:v5" in 983ms (983ms including waiting). Image size: 48519468 bytes.
34m         Warning   Evicted            pod/curl-runner-65d77865d8-s8hw2    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-tt6g9    Successfully assigned bench/curl-runner-65d77865d8-tt6g9 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-tt6g9    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-dtx6v    Successfully assigned bench/curl-runner-65d77865d8-dtx6v to ocibench-control-plane
34m         Normal    Killing            pod/v2-vanilla-90-1                 Stopping container predictor
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-nd2sv    Successfully assigned bench/curl-runner-65d77865d8-nd2sv to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-nd2sv    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-nkvs4    Successfully assigned bench/curl-runner-65d77865d8-nkvs4 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-nkvs4    The node had condition: [DiskPressure].
34m         Normal    Started            pod/v2-vanilla-90-1                 Container started
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-s8hw2    Successfully assigned bench/curl-runner-65d77865d8-s8hw2 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-dtx6v    The node had condition: [DiskPressure].
34m         Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   (combined from similar events): Created pod: curl-runner-65d77865d8-hhkkv
34m         Normal    Created            pod/v2-vanilla-90-1                 Container created
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-bx7zp    Successfully assigned bench/curl-runner-65d77865d8-bx7zp to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-prkm9    Successfully assigned bench/curl-runner-65d77865d8-prkm9 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-prkm9    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-bx7zp    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-zks2n    Successfully assigned bench/curl-runner-65d77865d8-zks2n to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-hhkkv    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-zks2n    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-pc4dq    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-h6nbx    Successfully assigned bench/curl-runner-65d77865d8-h6nbx to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-h6blr    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-9mgmx    Successfully assigned bench/curl-runner-65d77865d8-9mgmx to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-9mgmx    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-4zf55    Successfully assigned bench/curl-runner-65d77865d8-4zf55 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-prqnc    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-h6blr    Successfully assigned bench/curl-runner-65d77865d8-h6blr to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-prqnc    Successfully assigned bench/curl-runner-65d77865d8-prqnc to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-mbt4h    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-9489h    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-pc4dq    Successfully assigned bench/curl-runner-65d77865d8-pc4dq to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-h6nbx    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-xwxws    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-xwxws    Successfully assigned bench/curl-runner-65d77865d8-xwxws to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-9489h    Successfully assigned bench/curl-runner-65d77865d8-9489h to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-4zf55    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-mbt4h    Successfully assigned bench/curl-runner-65d77865d8-mbt4h to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-6mh9d    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-6mh9d    Successfully assigned bench/curl-runner-65d77865d8-6mh9d to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-nzvv8    Successfully assigned bench/curl-runner-65d77865d8-nzvv8 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-bldns    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-mjb7m    Successfully assigned bench/curl-runner-65d77865d8-mjb7m to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-mjb7m    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-bldns    Successfully assigned bench/curl-runner-65d77865d8-bldns to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-bgcjt    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-mrzd2    Successfully assigned bench/curl-runner-65d77865d8-mrzd2 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-mrzd2    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-7m2k7    Successfully assigned bench/curl-runner-65d77865d8-7m2k7 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-7m2k7    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-7qbrw    Successfully assigned bench/curl-runner-65d77865d8-7qbrw to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-7qbrw    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-nzvv8    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-958zc    Successfully assigned bench/curl-runner-65d77865d8-958zc to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-958zc    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-qdxmq    Successfully assigned bench/curl-runner-65d77865d8-qdxmq to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-bgcjt    Successfully assigned bench/curl-runner-65d77865d8-bgcjt to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-qdxmq    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-w8f6n    Successfully assigned bench/curl-runner-65d77865d8-w8f6n to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-w8f6n    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-r6l9m    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-r8g5j    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-r8g5j    Successfully assigned bench/curl-runner-65d77865d8-r8g5j to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-ggnh7    Successfully assigned bench/curl-runner-65d77865d8-ggnh7 to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-r6l9m    Successfully assigned bench/curl-runner-65d77865d8-r6l9m to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-ggnh7    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-cbr4s    Successfully assigned bench/curl-runner-65d77865d8-cbr4s to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-h4ng8    Successfully assigned bench/curl-runner-65d77865d8-h4ng8 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-h4ng8    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-vplv7    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-k5b49    Successfully assigned bench/curl-runner-65d77865d8-k5b49 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-k5b49    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-vplv7    Successfully assigned bench/curl-runner-65d77865d8-vplv7 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-9tt6q    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-9tt6q    Successfully assigned bench/curl-runner-65d77865d8-9tt6q to ocibench-control-plane
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-5jmft    Successfully assigned bench/curl-runner-65d77865d8-5jmft to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-cbr4s    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-5jmft    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-t2hd8    Successfully assigned bench/curl-runner-65d77865d8-t2hd8 to ocibench-control-plane
34m         Warning   Evicted            pod/curl-runner-65d77865d8-t2hd8    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-6c6db    The node had condition: [DiskPressure].
34m         Warning   Evicted            pod/curl-runner-65d77865d8-zmdnh    The node had condition: [DiskPressure].
34m         Normal    Scheduled          pod/curl-runner-65d77865d8-dcf9f    Successfully assigned bench/curl-runner-65d77865d8-dcf9f to ocibench-control-plane
