NAMESPACE   LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
bench       40m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-772593745-E0oh sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       40m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-771383371-mvI6 sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       40m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to prepare extraction snapshot "extract-771092305-XIiN sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       40m         Normal    Scheduled                pod/s1-probe                        Successfully assigned bench/s1-probe to ocibench-control-plane
bench       40m         Normal    Started                  pod/s1-probe                        Container started
bench       40m         Normal    Created                  pod/s1-probe                        Container created
bench       40m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/custom-predictor:v4" already present on machine and can be accessed by the pod
bench       40m         Normal    Pulled                   pod/s1-probe                        Container image "172.31.48.227:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
bench       39m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-770498419-A5-g sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       39m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-774375828-_qNh sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
