ts_epoch,iso,loop,file,bytes,ms,errno
1789254923.845539,2026-09-12T23:15:23Z,19,ballast-6.bin,536870912,4929.507,
1789254928.775119,2026-09-12T23:15:28Z,19,ballast-26.bin,536870912,4533.952,
1789254933.309143,2026-09-12T23:15:33Z,19,ballast-7.bin,536870912,4073.721,
1789254937.382943,2026-09-12T23:15:37Z,19,ballast-39.bin,536870912,4300.692,
1789254941.683709,2026-09-12T23:15:41Z,19,ballast-13.bin,536870912,4150.742,
1789254945.834522,2026-09-12T23:15:45Z,19,ballast-35.bin,536870912,533.898,
1789254946.368498,2026-09-12T23:15:46Z,19,ballast-34.bin,536870912,495.704,
1789254946.864273,2026-09-12T23:15:46Z,19,ballast-38.bin,536870912,4549.455,
1789254951.414192,2026-09-12T23:15:51Z,20,ballast-33.bin,536870912,491.242,
1789254951.905512,2026-09-12T23:15:51Z,20,ballast-17.bin,536870912,529.956,
1789254952.435559,2026-09-12T23:15:52Z,20,ballast-5.bin,536870912,560.922,
1789254952.996567,2026-09-12T23:15:52Z,20,ballast-21.bin,536870912,546.068,
1789254953.542725,2026-09-12T23:15:53Z,20,ballast-9.bin,536870912,518.118,
1789254954.060921,2026-09-12T23:15:54Z,20,ballast-19.bin,536870912,552.294,
1789254954.613291,2026-09-12T23:15:54Z,20,ballast-8.bin,536870912,723.936,
1789254955.337331,2026-09-12T23:15:55Z,20,ballast-31.bin,536870912,4150.492,
1789254959.487893,2026-09-12T23:15:59Z,20,ballast-32.bin,536870912,465.769,
1789254959.953736,2026-09-12T23:15:59Z,20,ballast-40.bin,536870912,476.029,
1789254960.429841,2026-09-12T23:16:00Z,20,ballast-24.bin,536870912,481.724,
1789254960.911641,2026-09-12T23:16:00Z,20,ballast-11.bin,536870912,491.035,
1789254961.402746,2026-09-12T23:16:01Z,20,ballast-38.bin,536870912,469.103,
1789254961.871916,2026-09-12T23:16:01Z,20,ballast-2.bin,536870912,497.095,
1789254962.369084,2026-09-12T23:16:02Z,20,ballast-4.bin,536870912,488.579,
1789254962.857734,2026-09-12T23:16:02Z,20,ballast-27.bin,536870912,471.158,
1789254963.328962,2026-09-12T23:16:03Z,20,ballast-15.bin,536870912,493.304,
1789254963.822370,2026-09-12T23:16:03Z,20,ballast-13.bin,536870912,497.984,
1789254964.320426,2026-09-12T23:16:04Z,20,ballast-26.bin,536870912,501.590,
1789254964.822088,2026-09-12T23:16:04Z,20,ballast-36.bin,536870912,476.474,
1789254965.298666,2026-09-12T23:16:05Z,20,ballast-23.bin,536870912,538.546,
1789254965.837294,2026-09-12T23:16:05Z,20,ballast-12.bin,536870912,3624.041,
1789254969.461460,2026-09-12T23:16:09Z,20,ballast-20.bin,536870912,528.042,
1789254969.989596,2026-09-12T23:16:09Z,20,ballast-18.bin,536870912,559.441,
1789254970.549127,2026-09-12T23:16:10Z,20,ballast-30.bin,536870912,3528.616,
1789254974.077827,2026-09-12T23:16:14Z,20,ballast-29.bin,536870912,1388.906,
1789254975.466805,2026-09-12T23:16:15Z,20,ballast-28.bin,536870912,465.016,
1789254975.931893,2026-09-12T23:16:15Z,20,ballast-3.bin,536870912,4231.905,
1789254980.163872,2026-09-12T23:16:20Z,20,ballast-1.bin,536870912,4050.009,
1789254984.213961,2026-09-12T23:16:24Z,20,ballast-10.bin,536870912,1423.170,
1789254985.637204,2026-09-12T23:16:25Z,20,ballast-25.bin,536870912,659.488,
1789254986.296767,2026-09-12T23:16:26Z,20,ballast-7.bin,536870912,499.711,
1789254986.796546,2026-09-12T23:16:26Z,20,ballast-16.bin,536870912,506.819,
1789254987.303461,2026-09-12T23:16:27Z,20,ballast-34.bin,536870912,4078.387,
1789254991.381922,2026-09-12T23:16:31Z,20,ballast-6.bin,536870912,513.699,
1789254991.895694,2026-09-12T23:16:31Z,20,ballast-14.bin,536870912,3856.171,
1789254995.751938,2026-09-12T23:16:35Z,20,ballast-39.bin,536870912,499.429,
1789254996.251439,2026-09-12T23:16:36Z,20,ballast-35.bin,536870912,527.647,
1789254996.779165,2026-09-12T23:16:36Z,20,ballast-22.bin,536870912,4021.723,
1789255000.800969,2026-09-12T23:16:40Z,20,ballast-37.bin,536870912,4184.902,
1789255004.985996,2026-09-12T23:16:44Z,21,ballast-40.bin,536870912,500.833,
1789255005.486903,2026-09-12T23:16:45Z,21,ballast-2.bin,536870912,480.080,
1789255005.967054,2026-09-12T23:16:45Z,21,ballast-39.bin,536870912,542.008,
1789255006.509148,2026-09-12T23:16:46Z,21,ballast-10.bin,536870912,492.430,
1789255007.001657,2026-09-12T23:16:47Z,21,ballast-37.bin,536870912,523.569,
1789255007.525297,2026-09-12T23:16:47Z,21,ballast-5.bin,536870912,516.984,
1789255008.042381,2026-09-12T23:16:48Z,21,ballast-19.bin,536870912,3301.105,
1789255011.343568,2026-09-12T23:16:51Z,21,ballast-16.bin,536870912,532.728,
1789255011.876398,2026-09-12T23:16:51Z,21,ballast-13.bin,536870912,505.030,
1789255012.381501,2026-09-12T23:16:52Z,21,ballast-15.bin,536870912,3742.418,
1789255016.123994,2026-09-12T23:16:56Z,21,ballast-29.bin,536870912,3851.952,
1789255019.976020,2026-09-12T23:16:59Z,21,ballast-24.bin,536870912,512.938,
1789255020.489033,2026-09-12T23:17:00Z,21,ballast-31.bin,536870912,575.935,
1789255021.065042,2026-09-12T23:17:01Z,21,ballast-21.bin,536870912,941.585,
1789255022.006712,2026-09-12T23:17:02Z,21,ballast-30.bin,536870912,670.949,
1789255022.677727,2026-09-12T23:17:02Z,21,ballast-27.bin,536870912,540.099,
1789255023.217916,2026-09-12T23:17:03Z,21,ballast-8.bin,536870912,1643.044,
1789255024.861051,2026-09-12T23:17:04Z,21,ballast-6.bin,536870912,528.553,
1789255025.389676,2026-09-12T23:17:05Z,21,ballast-36.bin,536870912,541.868,
1789255025.931617,2026-09-12T23:17:05Z,21,ballast-38.bin,536870912,530.523,
1789255026.462235,2026-09-12T23:17:06Z,21,ballast-35.bin,536870912,531.985,
1789255026.994289,2026-09-12T23:17:06Z,21,ballast-28.bin,536870912,4271.588,
1789255031.265947,2026-09-12T23:17:11Z,21,ballast-1.bin,536870912,505.722,
1789255031.771733,2026-09-12T23:17:11Z,21,ballast-12.bin,536870912,1267.831,
1789255033.039637,2026-09-12T23:17:13Z,21,ballast-33.bin,536870912,947.641,
1789255033.987375,2026-09-12T23:17:13Z,21,ballast-14.bin,536870912,498.405,
1789255034.485851,2026-09-12T23:17:14Z,21,ballast-25.bin,536870912,516.221,
1789255035.002143,2026-09-12T23:17:15Z,21,ballast-26.bin,536870912,516.768,
1789255035.518981,2026-09-12T23:17:15Z,21,ballast-17.bin,536870912,514.670,
1789255036.033719,2026-09-12T23:17:16Z,21,ballast-34.bin,536870912,532.917,
1789255036.566705,2026-09-12T23:17:16Z,21,ballast-20.bin,536870912,529.050,
1789255037.095831,2026-09-12T23:17:17Z,21,ballast-32.bin,536870912,812.460,
1789255037.908387,2026-09-12T23:17:17Z,21,ballast-22.bin,536870912,539.432,
1789255038.447889,2026-09-12T23:17:18Z,21,ballast-3.bin,536870912,832.228,
1789255039.280195,2026-09-12T23:17:19Z,21,ballast-11.bin,536870912,533.696,
1789255039.813971,2026-09-12T23:17:19Z,21,ballast-18.bin,536870912,1023.397,
1789255040.837449,2026-09-12T23:17:20Z,21,ballast-4.bin,536870912,3407.810,
1789255044.245354,2026-09-12T23:17:24Z,21,ballast-7.bin,536870912,474.838,
1789255044.720265,2026-09-12T23:17:24Z,21,ballast-9.bin,536870912,1739.413,
1789255046.459756,2026-09-12T23:17:26Z,21,ballast-23.bin,536870912,3439.793,
1789255049.899668,2026-09-12T23:17:29Z,22,ballast-26.bin,536870912,511.812,
1789255050.411559,2026-09-12T23:17:30Z,22,ballast-28.bin,536870912,481.636,
1789255050.893285,2026-09-12T23:17:30Z,22,ballast-18.bin,536870912,612.503,
1789255051.505860,2026-09-12T23:17:31Z,22,ballast-3.bin,536870912,579.974,
1789255052.085905,2026-09-12T23:17:32Z,22,ballast-30.bin,536870912,564.296,
1789255052.650270,2026-09-12T23:17:32Z,22,ballast-13.bin,536870912,512.662,
1789255053.163002,2026-09-12T23:17:33Z,22,ballast-27.bin,536870912,524.121,
1789255053.687200,2026-09-12T23:17:33Z,22,ballast-6.bin,536870912,827.496,
1789255054.514783,2026-09-12T23:17:34Z,22,ballast-38.bin,536870912,517.929,
1789255055.032786,2026-09-12T23:17:35Z,22,ballast-34.bin,536870912,511.469,
1789255055.544354,2026-09-12T23:17:35Z,22,ballast-32.bin,536870912,551.312,
1789255056.095743,2026-09-12T23:17:36Z,22,ballast-8.bin,536870912,538.102,
1789255056.633924,2026-09-12T23:17:36Z,22,ballast-4.bin,536870912,523.667,
1789255057.157681,2026-09-12T23:17:37Z,22,ballast-31.bin,536870912,508.146,
1789255057.665895,2026-09-12T23:17:37Z,22,ballast-39.bin,536870912,994.526,
1789255058.660494,2026-09-12T23:17:38Z,22,ballast-7.bin,536870912,548.708,
1789255059.209275,2026-09-12T23:17:39Z,22,ballast-29.bin,536870912,556.328,
1789255059.765675,2026-09-12T23:17:39Z,22,ballast-36.bin,536870912,545.212,
1789255060.310958,2026-09-12T23:17:40Z,22,ballast-1.bin,536870912,530.955,
1789255060.841989,2026-09-12T23:17:40Z,22,ballast-22.bin,536870912,533.841,
1789255061.375900,2026-09-12T23:17:41Z,22,ballast-25.bin,536870912,535.360,
1789255061.911368,2026-09-12T23:17:41Z,22,ballast-12.bin,536870912,562.796,
1789255062.474252,2026-09-12T23:17:42Z,22,ballast-14.bin,536870912,578.874,
1789255063.053201,2026-09-12T23:17:43Z,22,ballast-37.bin,536870912,541.791,
1789255063.595062,2026-09-12T23:17:43Z,22,ballast-2.bin,536870912,550.779,
