Sep 09 07:49:08 ocibench-control-plane kubelet[828]: I0909 07:49:08.473149     828 eviction_manager.go:410] "Eviction manager: pods ranked for eviction" pods=["kube-system/coredns-589f44dc88-gwclp","kube-system/coredns-589f44dc88-z5rds","kube-system/kindnet-hpsp8","kube-system/kube-apiserver-ocibench-control-plane","kube-system/kube-controller-manager-ocibench-control-plane","kube-system/etcd-ocibench-control-plane","kube-system/kube-proxy-gbtkr","kube-system/kube-scheduler-ocibench-control-plane"]
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473178     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-gwclp"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473185     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/coredns-589f44dc88-z5rds"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473192     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kindnet-hpsp8"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473198     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-apiserver-ocibench-control-plane"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473204     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-controller-manager-ocibench-control-plane"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473209     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/etcd-ocibench-control-plane"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473215     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-proxy-gbtkr"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: E0909 07:49:08.473223     828 eviction_manager.go:616] "Eviction manager: cannot evict a critical pod" pod="kube-system/kube-scheduler-ocibench-control-plane"
Sep 09 07:49:08 ocibench-control-plane kubelet[828]: I0909 07:49:08.473232     828 eviction_manager.go:444] "Eviction manager: unable to evict any pods from the node"
