LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-bspf8    Successfully assigned bench/curl-runner-65d77865d8-bspf8 to ocibench-control-plane
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-pwdz5    Successfully assigned bench/curl-runner-65d77865d8-pwdz5 to ocibench-control-plane
5m1s        Warning   Evicted            pod/v2-vanilla-90-1                 The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 4437048Ki.
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-6jsg6    The node had condition: [DiskPressure].
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-27fpm    The node had condition: [DiskPressure].
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-cgj64    Successfully assigned bench/curl-runner-65d77865d8-cgj64 to ocibench-control-plane
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-cgj64    The node had condition: [DiskPressure].
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-zjdx2    The node had condition: [DiskPressure].
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-zjdx2    Successfully assigned bench/curl-runner-65d77865d8-zjdx2 to ocibench-control-plane
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-27fpm    Successfully assigned bench/curl-runner-65d77865d8-27fpm to ocibench-control-plane
5m          Warning   Evicted            pod/curl-runner-65d77865d8-xpfjf    The node had condition: [DiskPressure].
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-xpfjf    Successfully assigned bench/curl-runner-65d77865d8-xpfjf to ocibench-control-plane
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-6kpvl    Successfully assigned bench/curl-runner-65d77865d8-6kpvl to ocibench-control-plane
5m          Warning   Evicted            pod/curl-runner-65d77865d8-6kpvl    The node had condition: [DiskPressure].
5m          Warning   Evicted            pod/curl-runner-65d77865d8-4zpbx    The node had condition: [DiskPressure].
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-4zpbx    Successfully assigned bench/curl-runner-65d77865d8-4zpbx to ocibench-control-plane
5m          Warning   Evicted            pod/curl-runner-65d77865d8-4gd4q    The node had condition: [DiskPressure].
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-4gd4q    Successfully assigned bench/curl-runner-65d77865d8-4gd4q to ocibench-control-plane
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-8qz8d    Successfully assigned bench/curl-runner-65d77865d8-8qz8d to ocibench-control-plane
5m          Warning   Evicted            pod/curl-runner-65d77865d8-8qz8d    The node had condition: [DiskPressure].
5m          Normal    Pulled             pod/v2-vanilla-90-1                 Successfully pulled image "172.31.57.168:5000/model-ballast:estargz-140g" in 133ms (3.397s including waiting). Image size: 150374663046 bytes.
5m          Normal    Pulling            pod/v2-vanilla-90-1                 Pulling image "172.31.57.168:5000/custom-predictor:v5"
5m          Normal    Scheduled          pod/curl-runner-65d77865d8-97g2n    Successfully assigned bench/curl-runner-65d77865d8-97g2n to ocibench-control-plane
5m          Warning   Evicted            pod/curl-runner-65d77865d8-97g2n    The node had condition: [DiskPressure].
4m59s       Normal    Scheduled          pod/curl-runner-65d77865d8-nkvs4    Successfully assigned bench/curl-runner-65d77865d8-nkvs4 to ocibench-control-plane
4m59s       Normal    Scheduled          pod/curl-runner-65d77865d8-s8hw2    Successfully assigned bench/curl-runner-65d77865d8-s8hw2 to ocibench-control-plane
4m59s       Normal    Killing            pod/v2-vanilla-90-1                 Stopping container predictor
4m59s       Normal    Started            pod/v2-vanilla-90-1                 Container started
4m59s       Warning   Evicted            pod/curl-runner-65d77865d8-bx7zp    The node had condition: [DiskPressure].
4m59s       Normal    Created            pod/v2-vanilla-90-1                 Container created
4m59s       Normal    Scheduled          pod/curl-runner-65d77865d8-bx7zp    Successfully assigned bench/curl-runner-65d77865d8-bx7zp to ocibench-control-plane
4m59s       Normal    Scheduled          pod/curl-runner-65d77865d8-hhkkv    Successfully assigned bench/curl-runner-65d77865d8-hhkkv to ocibench-control-plane
4m59s       Normal    Pulled             pod/v2-vanilla-90-1                 Successfully pulled image "172.31.57.168:5000/custom-predictor:v5" in 983ms (983ms including waiting). Image size: 48519468 bytes.
